"ID_REF"	"GSM1900768"	"GSM1900769"	"GSM1900770"	"GSM1900771"	"GSM1900772"	"GSM1900773"	"GSM1900774"	"GSM1900775"	"GSM1900776"	"GSM1900777"	"GSM1900778"	"GSM1900779"	"GSM1900780"	"GSM1900781"	"GSM1900782"	"GSM1900783"	"GSM1900784"	"GSM1900785"	"GSM1900786"	"GSM1900787"	"GSM1900788"	"GSM1900789"	"GSM1900790"	"GSM1900791"	"GSM1900792"	"GSM1900793"	"GSM1900794"	"GSM1900795"	"GSM1900796"	"GSM1900797"	"GSM1900798"	"GSM1900799"	"GSM1900800"	"GSM1900801"	"GSM1900802"	"GSM1900803"	"GSM1900804"	"GSM1900805"	"GSM1900806"	"GSM1900807"	"GSM1900808"	"GSM1900809"	"GSM1900810"	"GSM1900811"	"GSM1900812"	"GSM1900813"	"GSM1900814"	"GSM1900815"	"GSM1900816"	"GSM1900817"	"GSM1900818"	"GSM1900819"	"GSM1900820"	"GSM1900821"	"GSM1900822"	"GSM1900823"	"GSM1900824"	"GSM1900825"	"GSM1900826"	"GSM1900827"	"GSM1900828"	"GSM1900829"	"GSM1900830"	"GSM1900831"	"GSM1900832"	"GSM1900833"	"GSM1900834"	"GSM1900835"	"GSM1900836"	"GSM1900837"	"GSM1900838"	"GSM1900839"	"GSM1900840"	"GSM1900841"	"GSM1900842"	"GSM1900843"	"GSM1900844"	"GSM1900845"	"GSM1900846"	"GSM1900847"	"GSM1900848"	"GSM1900849"	"GSM1900850"	"GSM1900851"	"GSM1900852"	"GSM1900853"	"GSM1900854"	"GSM1900855"	"GSM1900856"	"GSM1900857"	"GSM1900858"	"GSM1900859"	"GSM1900860"	"GSM1900861"	"GSM1900862"	"GSM1900863"	"GSM1900864"	"GSM1900865"	"GSM1900866"	"GSM1900867"	"GSM1900868"	"GSM1900869"	"GSM1900870"	"GSM1900871"	"GSM1900872"	"GSM1900873"	"GSM1900874"	"GSM1900875"	"GSM1900876"	"GSM1900877"	"GSM1900878"	"GSM1900879"	"GSM1900880"	"GSM1900881"	"GSM1900882"	"GSM1900883"	"GSM1900884"	"GSM1900885"	"GSM1900886"	"GSM1900887"	"GSM1900888"	"GSM1900889"	"GSM1900890"	"GSM1900891"	"GSM1900892"	"GSM1900893"	"GSM1900894"	"GSM1900895"	"GSM1900896"	"GSM1900897"	"GSM1900898"	"GSM1900899"	"GSM1900900"	"GSM1900901"	"GSM1900902"	"GSM1900903"	"GSM1900904"	"GSM1900905"	"GSM1900906"	"GSM1900907"	"GSM1900908"	"GSM1900909"	"GSM1900910"	"GSM1900911"	"GSM1900912"	"GSM1900913"	"GSM1900914"	"GSM1900915"	"GSM1900916"	"GSM1900917"	"GSM1900918"	"GSM1900919"	"GSM1900920"	"GSM1900921"	"GSM1900922"	"GSM1900923"	"GSM1900924"	"GSM1900925"	"GSM1900926"	"GSM1900927"	"GSM1900928"	"GSM1900929"	"GSM1900930"	"GSM1900931"	"GSM1900932"	"GSM1900933"	"GSM1900934"	"GSM1900935"	"GSM1900936"	"GSM1900937"	"GSM1900938"	"GSM1900939"	"GSM1900940"	"GSM1900941"	"GSM1900942"	"GSM1900943"	"GSM1900944"	"GSM1900945"	"GSM1900946"	"GSM1900947"	"GSM1900948"	"GSM1900949"	"GSM1900950"
7892501	4.51208	2.85463	3.71843	2.12436	2.16978	2.19945	2.83296	2.44941	1.60515	2.05091	4.51844	3.05216	1.80244	2.28385	2.21472	3.04031	2.14745	5.14365	1.92159	4.29765	4.3823	3.49963	2.74608	3.7378	4.19808	2.72946	3.90876	2.56404	2.18853	5.42179	2.7881	3.93902	4.58851	2.2188	4.98432	2.02776	1.88925	1.90123	2.9361	2.10062	2.99977	4.27267	2.16528	3.12279	2.32254	2.63143	2.97437	2.43288	3.06536	1.59393	3.15222	3.95993	3.07718	2.96861	4.42286	2.62062	2.81709	2.11465	2.31125	2.34743	3.33765	2.72235	4.65604	2.65768	2.67266	2.36959	2.35445	2.24562	2.66764	3.7826	4.19914	2.34724	3.90509	2.45315	2.61653	2.47739	3.52622	4.17554	2.26081	4.09671	4.68919	2.75193	2.72315	5.08155	3.40542	2.99437	3.54069	1.46043	2.93883	3.69357	3.84941	4.42819	1.88702	3.6819	2.11271	1.83692	3.51249	1.97524	3.43098	3.08002	2.18644	2.29182	2.40308	2.85294	2.91342	2.2575	2.73622	2.14444	1.98529	2.18947	3.12453	3.00395	4.29322	2.63998	2.22208	3.87074	2.21642	2.19692	2.317	3.89762	2.6782	2.17299	3.05226	4.59227	3.64675	4.0841	3.46942	2.14871	3.06392	2.60578	4.24128	2.44199	2.70645	4.0258	3.95735	3.05798	3.12251	1.90965	3.62684	2.68839	2.58296	2.72031	2.52936	2.6231	2.23887	2.40648	2.14975	3.01632	3.94922	2.8671	1.64555	3.88136	2.28519	2.4176	2.02214	2.99275	2.72834	2.38523	2.49026	2.20252	3.57845	2.1602	1.73826	3.1765	2.11462	3.24291	2.65599	2.6189	2.39261	1.75586	4.6167	2.25101	3.23805	1.63532	4.34014	2.5313	2.08211	2.77453	2.61837	3.23832	2.10416	2.16274	2.67636
7892502	3.7665	3.41971	2.81216	3.91498	3.98973	3.30994	3.67606	4.38877	3.5286	3.65832	2.61456	3.23229	3.73338	4.80277	3.88583	3.18408	4.53105	3.53597	4.5659	3.73499	3.75039	3.76812	3.4944	3.42758	3.83908	3.9959	4.77999	3.84137	3.74694	3.54467	3.01692	3.08081	3.56312	3.28239	3.33445	4.33099	3.53079	4.12759	3.8605	4.23782	3.90776	3.35797	3.53493	3.75323	3.57101	2.87518	3.59177	3.12122	3.49536	3.73262	4.19533	3.90063	3.51227	3.47928	4.13483	3.16564	3.44581	2.3479	3.12749	3.34381	2.93257	3.2152	3.39636	3.72254	3.3967	3.4171	2.50654	3.39536	3.48981	4.0894	3.00006	2.82396	3.55859	3.52959	3.1042	3.30099	4.24244	3.73072	4.07406	3.91788	3.64385	6.17979	3.20195	3.45743	3.02067	3.73541	3.42097	3.53121	3.31115	3.7113	3.01752	3.64428	4.24702	3.72454	3.33214	3.22707	3.7309	3.19731	3.78293	2.34358	3.6681	3.57166	3.41322	3.63123	3.25423	4.08689	3.68286	3.31817	3.35986	3.55658	3.36626	3.40177	3.82861	4.37181	3.35854	3.76582	3.00732	2.92268	4.70271	2.80235	3.34276	3.21535	2.43984	3.54719	4.12554	4.06379	4.08663	3.24386	3.65193	3.43785	3.37409	3.03192	3.66481	3.53775	4.64262	3.83971	3.93882	3.10157	3.46934	4.02058	3.18349	3.87604	2.99471	3.48498	3.44139	3.26782	3.22887	2.81202	3.11967	2.30275	3.90672	2.92448	3.61393	4.66876	2.85562	3.87373	3.08285	3.72393	3.21108	3.97674	3.64456	3.0492	3.63478	3.18053	3.59727	4.17378	3.94983	4.34871	3.53519	4.12908	3.82113	3.76941	3.93114	3.10729	4.262	4.3376	3.22628	3.35905	3.18541	3.35922	5.23515	3.39003	2.99606
7892503	1.84827	2.6276	1.84328	1.99778	2.48285	2.58215	2.29576	2.83638	2.60763	2.85474	1.73138	1.70269	2.14616	2.63698	2.06246	2.34398	2.16351	1.9757	2.33307	2.50251	2.04164	2.47383	2.16733	2.02972	2.42038	3.59677	2.363	1.91946	2.80072	1.59497	3.41966	2.4593	1.95283	1.67682	2.37948	2.93727	2.13884	2.55223	1.87144	2.40275	2.04839	1.99602	2.62168	2.04963	2.26169	2.13446	1.90795	3.04819	2.07087	2.16143	2.39666	2.26494	2.82136	2.26963	2.25865	3.0054	1.868	2.25506	2.48081	1.73683	2.35486	1.63907	2.27043	2.12181	2.4444	2.45772	3.75244	1.86433	2.29529	1.83699	2.23305	1.89776	1.77455	2.55727	1.57707	1.7103	2.70727	2.18162	2.29116	2.58174	1.77927	2.45078	1.97096	1.99134	1.8896	1.89572	2.52012	2.19537	2.49208	1.92008	1.85436	2.78663	3.45161	2.44772	2.19527	1.93033	2.01015	2.54996	2.49537	2.32258	2.03409	2.12938	2.77349	2.59098	2.48183	3.05801	2.26278	2.11886	2.69191	2.98524	1.83105	2.03974	2.33788	3.12077	2.04773	1.96378	2.5727	2.17954	4.15204	2.10434	2.20436	2.15778	2.24247	1.98195	2.25018	2.27083	2.35772	2.92826	1.70512	1.98673	1.91746	2.49462	2.68993	1.97505	1.88809	2.11178	2.2827	3.01082	2.87321	2.40606	2.45557	2.52542	1.61361	2.09807	2.10508	2.08209	1.70334	2.67075	2.31702	2.21725	1.7804	2.50374	2.61921	2.22938	2.61682	2.00061	2.42421	2.07912	2.27924	1.94954	1.87531	2.09435	2.12678	1.59138	1.96557	1.96217	1.55451	2.80912	2.04711	2.72327	1.8714	2.48379	2.00808	2.87113	2.34525	3.33594	2.09144	2.01661	2.14842	1.90375	2.0827	1.71775	1.79627
7892504	8.39389	8.67148	8.32869	8.68035	9.44784	8.33066	8.52876	9.17188	9.03214	9.36958	8.16747	8.38632	8.43572	9.04796	9.02089	7.61657	8.6555	7.62656	9.50516	8.39428	8.52333	8.99593	8.91665	8.42143	8.27162	8.90645	8.30039	8.32256	8.43285	7.35896	9.34994	8.69969	8.35921	8.88994	7.7749	8.37118	8.17801	8.76561	9.1123	8.94999	8.57564	8.87174	8.5823	8.30439	8.54517	8.92738	9.20918	9.19174	7.08098	9.15899	8.48	9.311	8.32216	8.02692	8.29737	8.80159	8.16062	8.19058	8.82326	8.81037	8.01054	8.161	8.358	8.77917	8.45256	8.7616	8.88425	8.45785	8.21819	8.72032	8.32668	8.11493	8.89555	9.05786	8.60348	8.2187	8.32439	8.09195	8.65767	8.42312	7.88538	9.56372	8.73691	8.12334	8.02425	8.92351	8.41333	8.71264	9.12192	8.28305	7.9714	8.90844	9.32321	8.30469	8.17267	8.90128	9.03426	8.19061	8.25921	8.36068	8.70477	8.18115	9.07193	9.14204	8.08843	9.03447	8.98181	8.36688	9.59912	8.97219	8.16211	8.19298	8.19618	8.63759	8.1185	8.76044	9.33239	8.0618	9.14633	8.13592	8.39111	8.54077	9.13768	8.03229	8.21601	8.12792	8.63559	9.22193	8.44206	8.40363	8.33824	8.77385	9.0804	8.57533	9.34501	8.51378	8.21524	9.27431	9.03999	8.40113	7.74922	8.1528	8.962	7.98972	9.45881	8.67305	8.29328	8.25928	8.0552	8.21094	7.92104	8.37858	8.81097	9.27473	9.20004	8.73415	8.49492	8.25106	8.07732	9.1398	8.05111	9.32889	8.43255	8.47979	8.25626	8.49308	9.34988	8.9531	8.16546	8.93929	8.59649	8.62186	8.7139	8.85754	8.14376	8.78966	8.86839	8.92678	8.31298	8.53212	8.91246	8.42451	8.83009
7892505	2.35364	2.62316	2.20581	2.55094	2.15147	2.11365	2.78896	3.91345	2.54017	2.30963	2.45762	2.97888	2.88418	3.56873	2.80595	2.95646	1.73841	2.46842	2.52932	2.48898	2.18471	2.6066	2.16417	3.21057	2.10674	2.48269	2.255	2.26746	3.0065	2.02028	2.25348	2.61774	2.94676	2.2062	2.28489	2.88311	2.30211	2.66659	2.40885	2.00216	2.14481	2.33227	2.68177	2.44906	2.01535	2.25683	2.672	2.89181	2.42488	2.15692	1.9365	3.48179	2.72018	2.65789	2.52715	2.51957	2.67696	2.46465	2.8471	1.99679	1.94343	2.5892	2.66775	3.52335	3.44546	2.77524	2.70154	2.24349	3.1688	2.28062	2.82862	2.86034	2.69379	2.30033	2.26235	2.79041	2.56764	2.2964	2.40262	2.5908	3.39852	3.45064	2.85904	2.42881	2.44485	2.71664	2.9433	3.45965	2.23066	3.10717	2.06124	2.0366	3.07935	1.89095	3.05304	2.93938	2.04057	2.24618	2.88683	3.36668	2.81077	2.08756	2.36242	2.44562	1.86797	3.5635	2.22784	2.4559	2.17699	2.54706	3.25198	2.88904	1.79078	3.46719	2.10952	3.43853	2.6429	2.32672	2.23289	2.3161	1.88761	2.18402	1.86917	2.62732	2.85528	2.88736	2.32797	2.81371	2.14167	2.15989	2.25126	4.00501	2.82334	2.61461	3.41823	1.90717	2.19329	1.80611	2.55433	2.41009	2.70446	3.24396	2.92489	2.1815	2.71042	2.48965	2.53767	2.67509	3.24236	2.79739	2.43573	3.05553	2.33669	2.6405	1.91143	1.98224	2.58859	2.42769	3.56148	1.99284	2.245	2.47824	2.22308	2.30362	2.19252	2.29102	2.41421	2.8227	2.3274	2.4467	3.51578	3.14628	2.93255	2.7212	2.55513	1.99824	2.89832	2.86441	3.3069	2.43147	3.02744	2.57584	2.95712
7892506	2.89533	2.07593	2.46811	2.02665	1.75974	2.10972	2.59312	2.80807	2.11838	2.3911	2.49232	1.80204	1.76952	2.48917	2.17334	2.14575	1.82715	2.15605	2.35709	2.13201	2.01135	2.8173	3.0065	2.13932	2.75758	1.84034	2.89129	2.28074	2.39359	2.14495	2.53383	1.92848	2.36203	2.53948	2.40202	2.50385	2.38169	2.02704	2.64113	2.29525	1.96821	2.33701	1.82029	2.09198	1.85954	3.86826	1.85632	2.1205	3.48723	1.75354	2.14461	2.38834	2.26892	2.0342	1.94486	3.2854	2.22172	2.10355	2.76296	2.73023	2.21216	2.07055	2.55192	2.3379	2.11815	2.82103	3.23867	2.29781	2.40819	2.36138	2.80611	2.61838	3.11705	2.80559	2.38075	3.1237	3.02224	2.43308	4.08329	3.54074	1.89905	3.51378	2.18244	2.19054	2.06054	3.00718	2.36451	1.94879	2.16361	2.14079	2.20133	2.41096	2.35321	2.34105	2.67412	2.28512	2.00327	1.79603	2.23147	2.42828	2.94677	2.12078	1.76204	1.76142	2.84785	2.38237	2.0947	2.08996	2.55122	2.29615	2.00868	2.71785	1.93303	4.33019	2.22664	2.66457	2.48541	1.96981	2.5297	2.66174	2.46059	2.925	3.47114	2.15905	2.25269	2.6775	3.22476	2.50056	2.14295	2.3179	1.91203	2.34383	2.13261	2.51939	1.76429	2.9258	3.11506	2.56208	2.42904	2.112	2.21022	2.21234	3.64685	2.49736	2.97959	2.73407	2.10058	2.06453	1.78094	2.30164	1.99279	2.90048	3.27447	2.03846	1.82978	2.14999	1.89852	2.25358	2.60872	2.35406	2.43585	2.32213	2.25628	2.12919	2.19252	2.26866	1.80836	2.80912	1.97312	2.92023	2.36511	1.95865	3.16268	2.31445	3.77943	2.42696	2.81625	1.92826	2.60498	1.69312	2.28943	2.15063	1.99682
7892507	4.51349	5.00048	4.05493	3.78105	4.71226	3.90195	3.86157	5.35938	3.77354	2.39376	4.10482	2.73967	4.99438	4.9686	4.3765	3.91856	3.22669	2.65444	4.59365	4.51628	4.31836	5.08955	2.99563	2.70278	2.58515	4.86132	3.19382	3.89799	3.93445	3.28341	3.45098	4.49454	3.85686	4.06877	3.06048	4.63134	4.15622	3.01505	4.79456	3.08374	3.70652	4.6112	2.34963	3.16173	2.41028	5.62099	3.1123	3.20539	3.81768	4.45853	2.58143	2.89667	2.97156	3.86793	4.94424	3.50465	3.89506	5.31417	4.99061	3.80477	3.26327	4.68282	3.52927	4.28817	2.65022	4.3456	5.23531	4.06309	2.68527	2.90847	4.31282	4.74026	4.76495	3.45099	2.82893	2.30627	5.23672	4.4278	3.69758	4.39956	3.7493	6.34805	3.89097	3.31244	4.36178	4.40711	3.52046	2.70935	4.19821	3.6507	2.84643	4.82998	4.63896	4.17544	3.46485	3.64916	5.01716	4.30991	3.96515	4.82133	5.13691	3.5641	4.81336	4.19124	3.72657	4.38674	4.07873	4.61806	5.09799	4.76056	4.04087	4.26992	4.23497	4.30504	4.21252	5.28635	5.48906	4.96614	4.17142	4.74526	2.72839	4.60234	5.41737	3.45066	3.08537	4.21351	4.78716	5.38847	4.34399	3.12958	4.85291	2.84577	4.84193	2.55351	2.86211	3.51095	3.61102	5.0907	4.09792	2.81271	3.69455	4.27223	2.56314	3.47219	4.75549	4.62204	3.77221	3.49731	4.43446	3.06508	2.54127	2.98641	5.17256	4.43374	5.46213	3.30622	4.17177	3.01956	3.25637	4.42952	4.12104	5.05466	2.63974	4.51215	3.91824	3.29421	5.08155	4.56712	3.26357	4.5155	3.81336	4.49651	4.37379	4.21456	2.48291	4.59271	4.0281	3.76462	3.2969	2.88747	4.84393	4.88943	3.63692
7892508	2.61202	2.94987	2.15821	1.84026	2.89677	2.06433	2.18789	3.65534	2.56302	1.72395	2.56073	2.25097	1.82065	2.18586	2.74707	1.809	2.05633	1.94351	3.77743	2.45519	2.43998	2.4725	3.35235	2.11363	1.95908	2.84619	2.1717	2.25592	1.94532	2.33632	2.07031	3.13411	2.21059	2.56803	2.05752	3.83144	1.70175	3.01088	2.87411	3.0898	2.30795	1.89816	2.85215	1.78413	2.03415	3.49613	2.71387	2.49434	2.5165	2.17433	1.82313	2.56551	2.0618	1.86377	2.86551	2.72696	2.88046	2.59565	3.8404	1.71824	1.7623	1.97987	2.54966	2.27192	2.40794	2.47288	2.50299	2.88615	2.12211	2.45473	1.86833	1.9254	2.80862	3.43249	2.12459	1.99234	2.62553	2.53432	2.03731	2.59524	1.98232	2.75725	2.18602	2.13389	1.76422	2.30451	1.98123	2.29346	2.41313	1.88222	1.75189	1.9756	1.72447	2.48286	2.59176	3.07308	4.31512	1.72377	2.12097	2.03361	1.60759	2.13445	2.0715	2.91428	3.43181	2.61919	3.84527	2.52502	1.81206	2.71619	2.53468	1.86061	1.74022	1.99086	2.02064	2.8312	3.57971	1.93092	2.88922	1.77112	2.10774	2.05047	3.65555	2.01821	2.34892	3.44716	3.46867	2.88365	1.95148	2.24489	2.07377	4.0258	3.52765	1.75837	3.4404	2.17463	2.36735	2.70689	2.50507	2.53618	3.23905	3.39286	1.83097	1.98829	3.55881	2.4338	1.63599	1.80306	3.81723	2.32123	2.51539	2.19521	2.22938	3.58936	3.49583	2.09049	2.80863	2.74238	1.92393	2.50075	1.72667	2.98577	2.93376	2.64182	2.42879	1.89416	1.97801	3.80743	1.67994	4.50626	2.29088	1.67182	2.42046	3.04451	2.74541	2.42539	3.36668	3.2136	1.76582	1.81206	3.19935	2.13899	1.67809
7892509	11.2409	9.91842	10.0229	10.8165	9.14862	10.4153	10.8354	9.84818	9.05625	7.84053	11.079	10.4008	10.8436	9.39972	10.5588	10.8021	10.3721	10.9691	8.36019	10.9472	11.133	9.99631	10.1426	10.6075	11.026	10.083	10.7348	9.39969	10.6183	10.8004	8.87436	10.9508	11.085	10.5738	10.7819	9.32373	10.363	10.7743	9.30183	10.4022	10.3133	9.86616	9.96375	10.6442	10.4282	10.3443	10.134	9.72452	10.6901	9.07914	10.1842	10.4815	10.9108	10.9748	11.0838	9.71612	10.8012	10.7396	9.69934	10.3503	10.7373	10.4829	11.1116	8.86931	10.661	10.0582	9.57399	10.2673	10.6991	10.9026	10.9625	9.50842	9.86764	8.85217	10.6553	10.9472	10.9057	11.113	8.9307	10.6465	10.9519	9.13656	10.5524	10.703	10.6491	9.53043	10.7822	9.74396	8.60033	10.6015	11.0655	10.8681	9.2738	10.7066	10.7283	9.26036	11.0609	10.7464	10.6754	10.7041	9.99915	10.6901	10.0063	11.1845	10.9296	10.032	10.7798	9.98298	9.35007	10.6146	11.0129	10.4778	10.9852	10.3858	10.549	10.3001	9.89131	10.6229	10.5824	11.0365	10.8539	10.0124	9.22789	11.1277	10.8682	10.9256	11.0172	9.30263	10.8307	10.5947	11.0528	10.145	10.8017	10.6176	10.8718	11.0935	11.0736	8.89677	11.3311	10.2896	11.2189	10.7683	9.45927	10.7117	9.13284	10.7595	10.8054	10.4558	11.6837	10.5987	10.5884	10.8443	10.3522	10.1409	8.84414	10.6646	10.8512	10.8843	11.1506	9.90776	10.4325	8.75272	10.7903	10.8015	10.7414	11.1637	9.92292	10.5978	10.5928	9.38849	10.8834	10.5602	10.8755	10.1674	10.735	10.2722	8.66491	10.4022	10.8203	10.1455	10.9582	10.7598	8.59967
7892510	3.08013	3.46579	2.43709	2.61498	2.39148	1.86469	2.48275	2.9586	2.52902	4.06456	2.25587	2.65195	3.40913	3.33925	2.44493	1.84776	2.89938	2.63062	1.72769	2.35445	2.03628	3.31091	1.845	1.99174	1.85442	2.10784	2.15776	1.91815	2.29061	2.6023	4.21988	2.15635	2.21059	2.66776	2.6363	1.83386	2.07114	2.07178	2.14999	2.18507	2.13542	2.1922	3.56772	2.10875	2.14482	2.95947	3.06083	3.10708	1.82258	2.48073	2.25524	3.23397	2.30514	2.69132	2.37912	2.49244	2.9411	1.90272	3.73949	2.82001	2.19483	2.19648	2.21884	2.85258	2.44297	2.30445	3.44055	1.90968	2.62199	2.25139	2.17215	3.03121	2.19961	2.48412	3.18696	2.10943	2.20448	1.91937	2.39044	2.22598	3.10552	2.29719	2.35103	2.27925	2.36627	2.01259	2.61875	2.93441	2.99645	2.57878	1.99167	1.88809	1.61103	2.31713	2.02547	2.17136	3.07553	1.88728	2.09177	1.98243	1.86534	1.98757	2.07041	2.53121	2.75044	3.23233	1.878	3.10068	2.04095	2.30245	2.21647	2.16162	1.87371	2.72029	1.84164	2.36632	3.02515	2.1664	2.25125	2.00886	1.84305	2.8204	4.12982	1.75904	2.8134	2.03023	2.13127	3.51726	2.96738	2.034	2.48554	2.98605	2.25133	2.11476	3.1227	2.20255	2.3282	2.27297	2.02096	2.23625	2.47784	2.59154	2.88386	1.83317	2.15596	1.91041	1.89213	2.13236	2.74501	2.29845	2.11434	1.68663	2.25426	2.10413	2.28634	2.2007	2.08552	2.22874	1.63244	2.39984	2.10041	2.64931	2.09032	1.76254	2.2138	2.80405	2.32685	3.33496	2.27529	2.54052	2.11386	1.86592	1.9133	3.5061	2.57712	2.00154	2.44997	2.14001	1.68224	2.11587	1.80047	1.87954	2.44862
