"","coef_Bridge","V1","tcross","V1","tcross","V1","tcross","V1","tcross","V1","tcross","V1","tcross","V1","tcross","V1","tcross","V1","tcross","V1","tcross","V1","tcross","V1","tcross","V1","tcross","V1","tcross","V1","tcross","V1","tcross","V1","tcross","V1","tcross","V1","tcross","V1","tcross","V1","tcross","V1","tcross","V1","tcross","V1","tcross","V1","tcross","V1","tcross","V1","tcross","V1","tcross","V1","tcross","V1","tcross"
"intercept",NA,-28.1895319616329,1,-28.1895319616329,2,-28.1895319616329,3,-28.1895319616329,4,-28.1895319616329,5,-28.1895319616329,6,-28.1895319616329,7,-28.1895319616329,8,-28.1895319616329,9,-28.1895319616329,10,-28.1895319616329,11,-28.1895319616329,12,-28.1895319616329,13,-28.1895319616329,14,-28.1895319616329,15,-28.1895319616329,16,-28.1895319616329,17,-28.1895319616329,18,-28.1895319616329,19,-28.1895319616329,20,-28.1895319616329,21,-28.1895319616329,22,-28.1895319616329,23,-28.1895319616329,24,-28.1895319616329,25,-28.1895319616329,26,-28.1895319616329,27,-28.1895319616329,28,-28.1895319616329,29,-28.1895319616329,30
"PF4V1",NA,0,1,0,2,0,3,0,4,0,5,0,6,0,7,0,8,0,9,0,10,0,11,0,12,0,13,0,14,0,15,0,16,0,17,0,18,0,19,0,20,0,21,0,22,0,23,0,24,0,25,0,26,0,27,0,28,0,29,0,30
"CD177",NA,0,1,0,2,0,3,0,4,0,5,0,6,0,7,0,8,0,9,0,10,0,11,0,12,0,13,0,14,0,15,0,16,0,17,0,18,0,19,0,20,0,21,0,22,0,23,0,24,0,25,0,26,0,27,0,28,0,29,0,30
"FADS2",NA,8.11383328270148,1,8.11383328270148,2,8.11383328270148,3,8.11383328270148,4,8.11383328270148,5,8.11383328270148,6,8.11383328270148,7,8.11383328270148,8,8.11383328270148,9,8.11383328270148,10,8.11383328270148,11,8.11383328270148,12,8.11383328270148,13,8.11383328270148,14,8.11383328270148,15,8.11383328270148,16,8.11383328270148,17,8.11383328270148,18,8.11383328270148,19,8.11383328270148,20,8.11383328270148,21,8.11383328270148,22,8.11383328270148,23,8.11383328270148,24,8.11383328270148,25,8.11383328270148,26,8.11383328270148,27,8.11383328270148,28,8.11383328270148,29,8.11383328270148,30
"MMRN1",NA,0,1,0,2,0,3,0,4,0,5,0,6,0,7,0,8,0,9,0,10,0,11,0,12,0,13,0,14,0,15,0,16,0,17,0,18,0,19,0,20,0,21,0,22,0,23,0,24,0,25,0,26,0,27,0,28,0,29,0,30
"VNN1",NA,0,1,0,2,0,3,0,4,0,5,0,6,0,7,0,8,0,9,0,10,0,11,0,12,0,13,0,14,0,15,0,16,0,17,0,18,0,19,0,20,0,21,0,22,0,23,0,24,0,25,0,26,0,27,0,28,0,29,0,30
"CMTM5",NA,0,1,0,2,0,3,0,4,0,5,0,6,0,7,0,8,0,9,0,10,0,11,0,12,0,13,0,14,0,15,0,16,0,17,0,18,0,19,0,20,0,21,0,22,0,23,0,24,0,25,0,26,0,27,0,28,0,29,0,30
"WASF3",NA,0,1,0,2,0,3,0,4,0,5,0,6,0,7,0,8,0,9,0,10,0,11,0,12,0,13,0,14,0,15,0,16,0,17,0,18,0,19,0,20,0,21,0,22,0,23,0,24,0,25,0,26,0,27,0,28,0,29,0,30
"CXCR2P1",NA,0,1,0,2,0,3,0,4,0,5,0,6,0,7,0,8,0,9,0,10,0,11,0,12,0,13,0,14,0,15,0,16,0,17,0,18,0,19,0,20,0,21,0,22,0,23,0,24,0,25,0,26,0,27,0,28,0,29,0,30
"LINC00989",NA,0,1,0,2,0,3,0,4,0,5,0,6,0,7,0,8,0,9,0,10,0,11,0,12,0,13,0,14,0,15,0,16,0,17,0,18,0,19,0,20,0,21,0,22,0,23,0,24,0,25,0,26,0,27,0,28,0,29,0,30
