"","coef_MCP","V1","tcross","V1","tcross","V1","tcross","V1","tcross","V1","tcross","V1","tcross","V1","tcross","V1","tcross","V1","tcross","V1","tcross","V1","tcross","V1","tcross","V1","tcross","V1","tcross","V1","tcross","V1","tcross","V1","tcross","V1","tcross","V1","tcross","V1","tcross","V1","tcross","V1","tcross","V1","tcross","V1","tcross","V1","tcross","V1","tcross","V1","tcross","V1","tcross","V1","tcross","V1","tcross"
"(Intercept)",NA,-1.20086430942672,1,-1.38542909280792,2,-1.30749118472149,3,-1.26105684123642,4,-1.18476376136291,5,-1.28361705489172,6,-1.23977740683279,7,-1.23977740683279,8,-1.23977740683279,9,-1.06787790677753,10,-1.41246080224452,11,-1.38542909280792,12,-1.28361705489172,13,-1.17149063843268,14,-1.23977740683279,15,-1.35908027596739,16,-1.28361705489172,17,-1.33274897007558,18,-1.33274897007558,19,-1.30749118472149,20,-1.20086430942672,21,-1.21974236684307,22,-1.15925366745828,23,-1.35908027596739,24,-1.20086430942672,25,-1.26105684123642,26,-1.35908027596739,27,-1.12844985077763,28,-1.14512045462442,29,-1.50738461386178,30
"PF4V1",NA,0,1,0,2,0,3,0,4,0.014592868090464,5,0,6,0,7,0,8,0,9,0.085295668219174,10,0,11,0,12,0,13,0.0407791051588995,14,0,15,0,16,0,17,0,18,0,19,0,20,0,21,0,22,0.0666486847241698,23,0,24,0,25,0,26,0,27,0.0913225917260157,28,0.0863982922572483,29,0,30
"CD177",NA,0,1,0.11390441147546,2,0.0700676639540425,3,0.0379952420877516,4,0,5,0.0541904761844861,6,0.0215388850676872,7,0.0215388850676872,8,0.0215388850676872,9,0,10,0.127295614896047,11,0.11390441147546,12,0.0541904761844861,13,0,14,0.0215388850676872,15,0.100597031774972,16,0.0541904761844861,17,0.0857861272967781,18,0.0857861272967781,19,0.0700676639540425,20,0,21,0.00456354438608088,22,0,23,0.100597031774972,24,0,25,0.0379952420877516,26,0.100597031774972,27,0,28,0,29,0.169873755616191,30
"FADS2",NA,0.0889477108749972,1,0.163310411555674,2,0.13564108566624,3,0.117622965489834,4,0.0703525162200003,5,0.126559223161067,6,0.108766518705576,7,0.108766518705576,8,0.108766518705576,9,0,10,0.172215066126509,11,0.163310411555674,12,0.126559223161067,13,0.0471127881569714,14,0.108766518705576,15,0.154140385638984,16,0.126559223161067,17,0.144841106610465,18,0.144841106610465,19,0.13564108566624,20,0.0889477108749972,21,0.100064821424211,22,0.0239934763976979,23,0.154140385638984,24,0.0889477108749972,25,0.117622965489834,26,0.154140385638984,27,0,28,0.00123456621132305,29,0.196176251693396,30
"MMRN1",NA,0,1,0,2,0,3,0,4,0,5,0,6,0,7,0,8,0,9,0,10,0,11,0,12,0,13,0,14,0,15,0,16,0,17,0,18,0,19,0,20,0,21,0,22,0,23,0,24,0,25,0,26,0,27,0,28,0,29,0,30
"VNN1",NA,0,1,0,2,0,3,0,4,0,5,0,6,0,7,0,8,0,9,0,10,0,11,0,12,0,13,0,14,0,15,0,16,0,17,0,18,0,19,0,20,0,21,0,22,0,23,0,24,0,25,0,26,0,27,0,28,0,29,0,30
"CMTM5",NA,0,1,0,2,0,3,0,4,0,5,0,6,0,7,0,8,0,9,0,10,0,11,0,12,0,13,0,14,0,15,0,16,0,17,0,18,0,19,0,20,0,21,0,22,0,23,0,24,0,25,0,26,0,27,0,28,0,29,0,30
"WASF3",NA,0,1,0,2,0,3,0,4,0,5,0,6,0,7,0,8,0,9,0,10,0,11,0,12,0,13,0,14,0,15,0,16,0,17,0,18,0,19,0,20,0,21,0,22,0,23,0,24,0,25,0,26,0,27,0,28,0,29,0,30
"CXCR2P1",NA,0,1,0,2,0,3,0,4,0,5,0,6,0,7,0,8,0,9,0,10,0,11,0,12,0,13,0,14,0,15,0,16,0,17,0,18,0,19,0,20,0,21,0,22,0,23,0,24,0,25,0,26,0,27,0,28,0,29,0,30
"LINC00989",NA,0,1,0,2,0,3,0,4,0,5,0,6,0,7,0,8,0,9,0,10,0,11,0,12,0,13,0,14,0,15,0,16,0,17,0,18,0,19,0,20,0,21,0,22,0,23,0,24,0,25,0,26,0,27,0,28,0,29,0,30
