"","coef_elastic","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross"
"(Intercept)",NA,-1.39496730700493,1,-1.66321382346937,2,-1.41707007654453,3,-1.13924097248337,4,-1.439384337249,5,-1.439384337249,6,-1.41707007654453,7,-1.48566272817497,8,-1.1247365527465,9,-1.39496730700493,10,-1.46220556458325,11,-1.15465043530154,12,-1.53428083616885,13,-1.439384337249,14,-1.46220556458325,15,-1.39496730700493,16,-1.37352253978128,17,-1.29316721116107,18,-1.37352253978128,19,-1.53428083616885,20,-1.15465043530154,21,-1.27447125757239,22,-1.39496730700493,23,-1.15465043530154,24,-1.25545423341309,25,-1.29316721116107,26,-1.439384337249,27,-1.31232431344157,28,-1.27447125757239,29,-1.35258606994713,30
"PF4V1",NA,0.120237244929631,1,0.18859548047917,2,0.126370111884935,3,0.0776401850451467,4,0.132424919885545,5,0.132424919885545,6,0.126370111884935,7,0.14545907605209,8,0.0783747511464125,9,0.120237244929631,10,0.138832126288142,11,0.0767144538987054,12,0.158985608045631,13,0.132424919885545,14,0.138832126288142,15,0.120237244929631,16,0.11392802053698,17,0.0872925302143097,18,0.11392802053698,19,0.158985608045631,20,0.0767144538987054,21,0.0819526431289038,22,0.120237244929631,23,0.0767144538987054,24,0.0772834891825093,25,0.0872925302143097,26,0.132424919885545,27,0.0930475694383892,28,0.0819526431289038,29,0.106944643554651,30
"CD177",NA,0.161911630130857,1,0.217658535634882,2,0.16730201419704,3,0.0763580243670206,4,0.172518850755227,5,0.172518850755227,6,0.16730201419704,7,0.182280595670777,8,0.0701269574159999,9,0.161911630130857,10,0.177430165279729,11,0.0829486830337084,12,0.192292830012134,13,0.172518850755227,14,0.177430165279729,15,0.161911630130857,16,0.156041933426959,17,0.129640356239446,18,0.156041933426959,19,0.192292830012134,20,0.0829486830337084,21,0.12233206063593,22,0.161911630130857,23,0.0829486830337084,24,0.115975674031154,25,0.129640356239446,26,0.172518850755227,27,0.137071195123988,28,0.12233206063593,29,0.149741769218807,30
"FADS2",NA,0.261516821710066,1,0.407759637631769,2,0.274297807716258,3,0.124794493805437,4,0.288143866944582,5,0.288143866944582,6,0.274297807716258,7,0.316175602226395,8,0.115806752133679,9,0.261516821710066,10,0.30222537079316,11,0.13285348597284,12,0.343682799238123,13,0.288143866944582,14,0.30222537079316,15,0.261516821710066,16,0.248633912356489,17,0.201252804078899,18,0.248633912356489,19,0.343682799238123,20,0.13285348597284,21,0.191811724340353,22,0.261516821710066,23,0.13285348597284,24,0.18259698503217,25,0.201252804078899,26,0.288143866944582,27,0.21194701941657,28,0.191811724340353,29,0.236085243002936,30
"MMRN1",NA,0,1,0,2,0,3,0,4,0,5,0,6,0,7,0,8,0,9,0,10,0,11,0,12,0,13,0,14,0,15,0,16,0,17,0,18,0,19,0,20,0,21,0,22,0,23,0,24,0,25,0,26,0,27,0,28,0,29,0,30
"VNN1",NA,0.0641969869258983,1,0.101947334963327,2,0.0674784594501119,3,0.00834507778083586,4,0.0707476309977694,5,0.0707476309977694,6,0.0674784594501119,7,0.0775477074950301,8,0.00521501529551994,9,0.0641969869258983,10,0.0740613429791601,11,0.0119733816757451,12,0.084745170335393,13,0.0707476309977694,14,0.0740613429791601,15,0.0641969869258983,16,0.0609300623826647,17,0.043624868593305,18,0.0609300623826647,19,0.084745170335393,20,0.0119733816757451,21,0.0374256630131458,22,0.0641969869258983,23,0.0119733816757451,24,0.0331857201372638,25,0.043624868593305,26,0.0707476309977694,27,0.048752504487357,28,0.0374256630131458,29,0.0573053460407712,30
"CMTM5",NA,0,1,0,2,0,3,0,4,0,5,0,6,0,7,0,8,0,9,0,10,0,11,0,12,0,13,0,14,0,15,0,16,0,17,0,18,0,19,0,20,0,21,0,22,0,23,0,24,0,25,0,26,0,27,0,28,0,29,0,30
"WASF3",NA,0,1,0,2,0,3,0,4,0,5,0,6,0,7,0,8,0,9,0,10,0,11,0,12,0,13,0,14,0,15,0,16,0,17,0,18,0,19,0,20,0,21,0,22,0,23,0,24,0,25,0,26,0,27,0,28,0,29,0,30
"CXCR2P1",NA,0,1,0,2,0,3,0,4,0,5,0,6,0,7,0,8,0,9,0,10,0,11,0,12,0,13,0,14,0,15,0,16,0,17,0,18,0,19,0,20,0,21,0,22,0,23,0,24,0,25,0,26,0,27,0,28,0,29,0,30
"LINC00989",NA,0,1,0,2,0,3,0,4,0,5,0,6,0,7,0,8,0,9,0,10,0,11,0,12,0,13,0,14,0,15,0,16,0,17,0,18,0,19,0,20,0,21,0,22,0,23,0,24,0,25,0,26,0,27,0,28,0,29,0,30
